dataset,model,attack,Successfulness,Concealability,Efficiency,Num of iters,eta,seed
Coffee,PatchTST,Vanilla PGD,0.1333135978112175,0.0877,0.2778,40.0,0.05,100
Coffee,RNNAttention,Vanilla PGD,0.3393631971892842,0.2075,0.931,1.0,1.0,100
Coffee,ResCNN,Vanilla PGD,0.0357493616185425,0.0181999999999999,1.0,15.0,0.05,100
Coffee,S4,Vanilla PGD,0.1881921208850512,0.4358999999999999,0.12,41.0,0.05,100
FreezerRegularTrain,PatchTST,Vanilla PGD,0.5369936068286736,0.7199,0.4282,40.0,0.05,100
FreezerRegularTrain,RNNAttention,Vanilla PGD,0.4635351906158357,0.7572,0.3339999999999999,40.0,0.05,100
FreezerRegularTrain,ResCNN,Vanilla PGD,0.647561717861206,0.5054000000000001,0.901,3.0,0.05,100
FreezerRegularTrain,S4,Vanilla PGD,0.7423900995426418,0.716,0.7708,40.0,0.05,101
GunPoint,PatchTST,Vanilla PGD,0.3607164179104478,0.3419999999999999,0.3816,41.0,0.05,100
GunPoint,RNNAttention,Vanilla PGD,0.1791744215938303,0.1209,0.3459,40.0,0.05,100
GunPoint,ResCNN,Vanilla PGD,0.3040567810457517,0.1882,0.791,48.0,0.05,100
GunPoint,S4,Vanilla PGD,0.5173494897045658,0.7101,0.4069,44.0,0.05,100
GunPointMaleVersusFemale,PatchTST,Vanilla PGD,0.1320229307568437,0.0951999999999999,0.2153,42.0,0.05,100
GunPointMaleVersusFemale,RNNAttention,Vanilla PGD,0.3820436450238154,0.4809,0.3168999999999999,42.0,0.05,100
GunPointMaleVersusFemale,ResCNN,Vanilla PGD,0.1619336458046135,0.0880999999999999,1.0,49.0,0.25,100
GunPointMaleVersusFemale,S4,Vanilla PGD,0.3227741826033312,0.3026999999999999,0.3457,47.0,0.1,102
PowerCons,PatchTST,Vanilla PGD,0.1869770209187427,0.1050999999999999,0.8462000000000001,49.0,0.5,100
PowerCons,RNNAttention,Vanilla PGD,0.264815318097591,0.1856,0.4619999999999999,50.0,1.0,100
PowerCons,ResCNN,Vanilla PGD,0.5746864310148233,0.4032,1.0,24.0,1.0,100
PowerCons,S4,Vanilla PGD,0.2768408139191978,0.1937999999999999,0.4844,50.0,1.0,100
Strawberry,PatchTST,Vanilla PGD,0.0267099099099098,0.0135999999999999,0.7412000000000001,41.0,0.05,100
Strawberry,RNNAttention,Vanilla PGD,0.0025966243882951,0.0012999999999999,1.0,34.0,1.0,100
Strawberry,ResCNN,Vanilla PGD,0.0372914622178606,0.019,1.0,10.0,0.3,100
Strawberry,S4,Vanilla PGD,0.1719513487475916,0.0974,0.733,42.0,0.05,100
