dataset,model,attack,Successfulness,Concealability,Efficiency,Num of iters,alpha,eta,seed
Coffee,PatchTST,PGD Sum Reg (ours),0.5572486742728587,0.8235,0.4211,41.0,0.001,0.25,100
Coffee,RNNAttention,PGD Sum Reg (ours),1.0,1.0,1.0,26.0,0.1,1.0,100
Coffee,ResCNN,PGD Sum Reg (ours),1.0,1.0,1.0,34.0,0.1,0.1,100
Coffee,S4,PGD Sum Reg (ours),0.8605430387059504,0.931,0.8,42.0,0.1,1.0,100
FreezerRegularTrain,PatchTST,PGD Sum Reg (ours),1.0,1.0,1.0,43.0,10.0,1.0,100
FreezerRegularTrain,RNNAttention,PGD Sum Reg (ours),0.5372748223801066,0.9813,0.3699,50.0,1.0,1.0,100
FreezerRegularTrain,ResCNN,PGD Sum Reg (ours),0.9787636419343309,0.9597,0.9986,50.0,10.0,0.25,100
FreezerRegularTrain,S4,PGD Sum Reg (ours),0.9345775125226472,0.9974,0.8792,45.0,1.0,1.0,101
GunPoint,PatchTST,PGD Sum Reg (ours),0.8137956716237456,0.7222,0.932,34.0,0.0001,1.0,100
GunPoint,RNNAttention,PGD Sum Reg (ours),0.4686268429402432,0.4286,0.5169,49.0,10.0,0.5,100
GunPoint,ResCNN,PGD Sum Reg (ours),0.5747786550976138,0.9756,0.4074,47.0,1.0,0.1,100
GunPoint,S4,PGD Sum Reg (ours),0.7039798389736206,0.9777,0.55,50.0,0.1,0.5,100
GunPointMaleVersusFemale,PatchTST,PGD Sum Reg (ours),0.5413311837862735,0.5705,0.515,49.0,1.0,1.0,100
GunPointMaleVersusFemale,RNNAttention,PGD Sum Reg (ours),0.7046681747795057,0.5747,0.9106,50.0,1.0,1.0,100
GunPointMaleVersusFemale,ResCNN,PGD Sum Reg (ours),0.5788620083942173,0.4397,0.8469,49.0,100.0,1.0,100
GunPointMaleVersusFemale,S4,PGD Sum Reg (ours),0.4412364395306859,0.4136999999999999,0.4727,47.0,0.001,0.25,102
PowerCons,PatchTST,PGD Sum Reg (ours),0.542750710552856,0.583,0.5077,50.0,0.1,1.0,100
PowerCons,RNNAttention,PGD Sum Reg (ours),0.5222516414607157,0.6462,0.4382,50.0,0.01,1.0,100
PowerCons,ResCNN,PGD Sum Reg (ours),0.6600745873087991,0.6481,0.6725,43.0,0.1,0.25,100
PowerCons,S4,PGD Sum Reg (ours),0.2811083450070042,0.8302,0.1692,47.0,0.0001,1.0,100
Strawberry,PatchTST,PGD Sum Reg (ours),0.6648985855534195,0.9429,0.5135000000000001,50.0,0.1,0.25,100
Strawberry,RNNAttention,PGD Sum Reg (ours),0.5766943649982976,0.5081,0.6667000000000001,50.0,0.1,0.1,100
Strawberry,ResCNN,PGD Sum Reg (ours),0.6507110279835984,0.8706,0.5195000000000001,46.0,0.1,0.05,100
Strawberry,S4,PGD Sum Reg (ours),0.5219182934958576,0.5656,0.4845,50.0,0.1,0.1,100
