dataset,model,attack,Successfulness,Concealability,Efficiency,Num of iters,epsilon,seed
Coffee,PatchTST,Vanilla iFGSM,0.0,0.0,1.0,32.0,0.03,100
Coffee,RNNAttention,Vanilla iFGSM,0.034398034398034315,0.01749999999999996,1.0,48.0,0.01,100
Coffee,ResCNN,Vanilla iFGSM,0.034398034398034315,0.01749999999999996,1.0,49.0,0.005,100
Coffee,S4,Vanilla iFGSM,0.0,0.0,1.0,28.0,0.01,100
FreezerRegularTrain,PatchTST,Vanilla iFGSM,0.05112546485724743,0.026268422603607178,0.9515403248369694,8.0,0.01,100
FreezerRegularTrain,RNNAttention,Vanilla iFGSM,0.07592589549962493,0.03998565673828125,0.7504655420780182,41.0,0.03,100
FreezerRegularTrain,ResCNN,Vanilla iFGSM,0.9962965021706542,0.9951031827367843,0.9974926870781929,4.0,0.005,100
FreezerRegularTrain,S4,Vanilla iFGSM,0.08992008457984728,0.04727536439895641,0.9180158451199532,7.0,0.01,100
GunPoint,PatchTST,Vanilla iFGSM,0.019607837350952163,0.009900987148284801,1.0,30.0,0.03,100
GunPoint,RNNAttention,Vanilla iFGSM,0.013157848769235186,0.006622493267059215,1.0,46.0,0.03,100
GunPoint,ResCNN,Vanilla iFGSM,0.2747242310957726,0.1615384817123413,0.9178082197904587,15.0,0.005,100
GunPoint,S4,Vanilla iFGSM,0.293981601312885,0.18577075004577637,0.7041420042514801,40.0,0.005,100
GunPointMaleVersusFemale,PatchTST,Vanilla iFGSM,0.03372408924174321,0.01716071367263805,0.9688473511487246,50.0,0.01,100
GunPointMaleVersusFemale,RNNAttention,Vanilla iFGSM,0.29397933015225564,0.17818182706832886,0.8396624475717545,46.0,0.01,100
GunPointMaleVersusFemale,ResCNN,Vanilla iFGSM,0.33544304802180513,0.2015209197998047,1.0,50.0,0.05,100
GunPointMaleVersusFemale,S4,Vanilla iFGSM,0.1564895882580008,0.08789384365081798,0.712737113237381,50.0,0.05,100
PowerCons,PatchTST,Vanilla iFGSM,0.18737142857142852,0.10929999999999995,0.6557999999999999,42.0,0.005,100
PowerCons,RNNAttention,Vanilla iFGSM,0.37564404731293394,0.31710000000000005,0.4607,47.0,0.05,100
PowerCons,ResCNN,Vanilla iFGSM,0.32773261065943987,0.19999999999999996,0.907,18.0,0.005,100
PowerCons,S4,Vanilla iFGSM,0.40397349510972996,0.3333333134651184,0.5126050412654877,44.0,0.05,100
Strawberry,PatchTST,Vanilla iFGSM,0.052898507497535,0.027247965335845947,0.9023136273026467,17.0,0.005,100
Strawberry,RNNAttention,Vanilla iFGSM,0.0,0.0,0.9839142095297575,43.0,0.03,100
Strawberry,ResCNN,Vanilla iFGSM,0.07801505442294661,0.04067319631576538,0.9525065980851651,6.0,0.005,100
Strawberry,S4,Vanilla iFGSM,0.11993818526483235,0.06497174501419078,0.7788461595773697,50.0,0.01,100
