dataset,model,attack,Successfulness,Concealability,Efficiency,Num of iters,epsilon,seed
Coffee,PatchTST,iFGSM Harmonic Reg (ours),1.0,1.0,1.0,50.0,0.05,100
Coffee,RNNAttention,iFGSM Harmonic Reg (ours),1.0,1.0,1.0,22.0,0.01,100
Coffee,ResCNN,iFGSM Harmonic Reg (ours),1.0,1.0,1.0,12.0,0.05,100
Coffee,S4,iFGSM Harmonic Reg (ours),1.0,1.0,1.0,16.0,0.05,100
FreezerRegularTrain,PatchTST,iFGSM Harmonic Reg (ours),0.9950980303487088,0.9937,0.9965,38.0,0.005,100
FreezerRegularTrain,RNNAttention,iFGSM Harmonic Reg (ours),0.468924803862402,0.8337,0.3262,50.0,0.05,100
FreezerRegularTrain,ResCNN,iFGSM Harmonic Reg (ours),0.9943099673022806,0.99719887948595,0.991437745280564,49.0,0.01,100
FreezerRegularTrain,S4,iFGSM Harmonic Reg (ours),0.8501800559179868,0.7744,0.9424,49.0,0.01,100
GunPoint,PatchTST,iFGSM Harmonic Reg (ours),0.7673981119791665,0.7895,0.7464999999999999,49.0,0.05,100
GunPoint,RNNAttention,iFGSM Harmonic Reg (ours),0.4596346245137395,0.5916230380535126,0.3757961988449096,48.0,0.005,100
GunPoint,ResCNN,iFGSM Harmonic Reg (ours),0.8590690985130112,0.8994,0.8222,49.0,0.005,100
GunPoint,S4,iFGSM Harmonic Reg (ours),0.863766599412002,0.9231,0.8116,44.0,0.03,100
GunPointMaleVersusFemale,PatchTST,iFGSM Harmonic Reg (ours),0.5006896762681621,0.3611999999999999,0.8157,43.0,0.05,100
GunPointMaleVersusFemale,RNNAttention,iFGSM Harmonic Reg (ours),0.5227962994430285,0.4694,0.5899,50.0,0.005,100
GunPointMaleVersusFemale,ResCNN,iFGSM Harmonic Reg (ours),0.7784767605203688,0.6373,1.0,3.0,1.0,100
GunPointMaleVersusFemale,S4,iFGSM Harmonic Reg (ours),0.3596779518689196,0.2377,0.7388,40.0,0.05,100
PowerCons,PatchTST,iFGSM Harmonic Reg (ours),0.8693220783665089,0.7965,0.9568,50.0,0.05,100
PowerCons,RNNAttention,iFGSM Harmonic Reg (ours),0.4599315547378105,0.3696,0.6087,41.0,1.0,100
PowerCons,ResCNN,iFGSM Harmonic Reg (ours),0.9310925677488596,0.9565,0.907,43.0,0.005,100
PowerCons,S4,iFGSM Harmonic Reg (ours),0.6893454097529164,0.6679999999999999,0.7121,46.0,0.1,100
Strawberry,PatchTST,iFGSM Harmonic Reg (ours),0.9210309579123668,0.9894,0.8614999999999999,50.0,0.01,100
Strawberry,RNNAttention,iFGSM Harmonic Reg (ours),0.9432526682870126,1.0,0.8926000000000001,49.0,0.03,100
Strawberry,ResCNN,iFGSM Harmonic Reg (ours),0.96504723056217,0.9946,0.9372,28.0,0.005,100
Strawberry,S4,iFGSM Harmonic Reg (ours),0.744868660194175,0.9186,0.6264000000000001,49.0,0.03,100
